setup,metric,nli_weight,dataset,type,improvement,improvement_nli,ori,ori_nli,current
src,SentSim_new_BERTScore_src,0.1,wmt20_mqm,mt-seg,-3.3539022900973436,2397.171584058946,0.3100871242880129,0.012001061802813871,0.29968710512522023
src,SentSim_new_BERTScore_src,0.2,wmt20_mqm,mt-seg,-9.06380295170578,2249.637415397866,0.3100871242880129,0.012001061802813871,0.2819814383639364
src,SentSim_new_BERTScore_src,0.3,wmt20_mqm,mt-seg,-17.42333147705465,2033.6413474315086,0.3100871242880129,0.012001061802813871,0.256059616755646
src,SentSim_new_BERTScore_src,0.4,wmt20_mqm,mt-seg,-28.21140490441313,1754.895789691512,0.3100871242880129,0.012001061802813871,0.22260719009867078
src,SentSim_new_BERTScore_src,0.5,wmt20_mqm,mt-seg,-40.634968468199,1433.891935015884,0.3100871242880129,0.012001061802813871,0.18408331910963383
src,SentSim_new_BERTScore_src,0.6,wmt20_mqm,mt-seg,-53.59585154622215,1099.0046535459194,0.3100871242880129,0.012001061802813871,0.1438932894906601
src,SentSim_new_BERTScore_src,0.7,wmt20_mqm,mt-seg,-66.0961538201675,776.0180004857893,0.3100871242880129,0.012001061802813871,0.1051314616420739
src,SentSim_new_BERTScore_src,0.8,wmt20_mqm,mt-seg,-77.49142305005994,481.5835309327265,0.3100871242880129,0.012001061802813871,0.06979619898222364
src,SentSim_new_BERTScore_src,0.9,wmt20_mqm,mt-seg,-87.50768189715859,222.78035559261252,0.3100871242880129,0.012001061802813871,0.03873706996201181
src,SentSim_new_BERTScore_src,0.1,wmt21.news_mqm,mt-seg,0.9243914907336226,183.73071509737997,0.16524822344731518,0.05877959455542594,0.16677576396345065
src,SentSim_new_BERTScore_src,0.2,wmt21.news_mqm,mt-seg,0.7925864336566057,183.36016896333325,0.16524822344731518,0.05877959455542594,0.16655795844821716
src,SentSim_new_BERTScore_src,0.3,wmt21.news_mqm,mt-seg,-0.9580568903357789,178.43855115756799,0.16524822344731518,0.05877959455542594,0.1636650514564207
src,SentSim_new_BERTScore_src,0.4,wmt21.news_mqm,mt-seg,-4.901130281665267,167.35331183654534,0.16524822344731518,0.05877959455542594,0.15714919272802494
