setup,metric,nli_metric,nli_weight,dataset,type,improvement,improvement_nli,ori,ori_nli,current
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,wmt20_google-de,adv-fact,70.48260381593715,-7.094801223241576,0.495,0.9083333333333332,0.8438888888888889
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,wmt20_google-de,adv-fact,73.51290684624014,-5.443425076452608,0.495,0.9083333333333332,0.8588888888888887
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,wmt20_google-de,adv-fact,75.08417508417509,-4.587155963302736,0.495,0.9083333333333332,0.8666666666666667
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,wmt20_google-de,adv-fact,77.89001122334453,-3.05810397553517,0.495,0.9083333333333332,0.8805555555555554
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,wmt20_google-de,adv-fact,80.4713804713805,-1.651376146788968,0.495,0.9083333333333332,0.8933333333333334
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,xpaws-de,adv-all,14.704241869211051,-10.473277201361762,0.6633065758135037,0.8498476826486449,0.7608407790555031
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,xpaws-de,adv-all,24.966939227676505,-2.4632363641163675,0.6633065758135037,0.8498476826486449,0.8289139254900432
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,xpaws-de,adv-all,29.519713609431346,1.0902065024940806,0.6633065758135037,0.8498476826486449,0.8591127773461756
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,xpaws-de,adv-all,30.78385936611977,2.0768729491034774,0.6633065758135037,0.8498476826486449,0.8674979392781573
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,xpaws-de,adv-all,31.1944986259523,2.397377113432316,0.6633065758135037,0.8498476826486449,0.8702217364914984
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,xpaws-de,adv-all,30.71159109958022,2.020467527994452,0.6633065758135037,0.8498476826486449,0.8670185791139741
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,xpaws-de,adv-all,30.506024133994142,1.8600224002060077,0.6633065758135037,0.8498476826486449,0.8656550399135413
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,xpaws-de,adv-all,30.17933438222551,1.6050408723119043,0.6633065758135037,0.8498476826486449,0.8634880853075512
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,xpaws-de,adv-all,29.214789736998735,0.852213255190389,0.6633065758135037,0.8498476826486449,0.857090197249105
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,xpaws-de,adv-fact,20.79122204059981,-17.369589793295166,0.6344562259553888,0.9274641463440276,0.7663674286441833
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,xpaws-de,adv-fact,35.66463444939465,-7.195041115419162,0.6344562259553888,0.9274641463440276,0.8607327196838035
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,xpaws-de,adv-fact,42.53632165046775,-2.4942828761657885,0.6344562259553888,0.9274641463440276,0.9043305669591913
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,xpaws-de,adv-fact,44.69597214833328,-1.016917190753957,0.6344562259553888,0.9274641463440276,0.9180326040017758
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,xpaws-de,adv-fact,45.967641593354585,-0.1469982834502064,0.6344562259553888,0.9274641463440276,0.9261007899692858
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,xpaws-de,adv-fact,46.25552460021384,0.04993565385464212,0.6344562259553888,0.9274641463440276,0.9279272816297719
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,xpaws-de,adv-fact,46.72777789220719,0.37299293053126786,0.6344562259553888,0.9274641463440276,0.930923522043103
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,xpaws-de,adv-fact,46.75947331145626,0.3946750151230068,0.6344562259553888,0.9274641463440276,0.9311246156038714
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,xpaws-de,adv-fact,46.29292254279722,0.07551869941331034,0.6344562259553888,0.9274641463440276,0.9281645552048714
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,wmt15,mt,3.3881233404274744,36.34318479920489,0.7683659373353805,0.582646741139325,0.7943991229981349
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,wmt15,mt,4.120120080175807,37.30850618753593,0.7683659373353805,0.582646741139325,0.8000235366087666
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,wmt15,mt,2.5960904906632365,35.29869073438013,0.7683659373353805,0.582646741139325,0.7883134123680398
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,wmt15,mt,-0.4920370581574808,31.226219627752176,0.7683659373353805,0.582646741139325,0.7645852921814313
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.5,wmt15,mt,-4.4445111029153495,26.013890767462655,0.7683659373353805,0.582646741139325,0.7342158279394899
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.6,wmt15,mt,-8.721486263013208,20.37362575641559,0.7683659373353805,0.582646741139325,0.7013530076610026
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.7,wmt15,mt,-12.97628033826736,14.762612071847627,0.7683659373353805,0.582646741139325,0.6686606192829858
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.8,wmt15,mt,-17.017789643967916,9.432867877531944,0.7683659373353805,0.582646741139325,0.6376070384237431
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.9,wmt15,mt,-20.758221636691506,4.500169672598435,0.7683659373353805,0.582646741139325,0.60886683308246
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,wmt16,mt,3.253438976222256,44.88308150427881,0.7208001284643298,0.5136907036053541,0.7442509207844484
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,wmt16,mt,3.4177153866521164,45.11359075217922,0.7208001284643298,0.5136907036053541,0.7454350253618635
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,wmt16,mt,1.0890549555242859,41.84606279006866,0.7208001284643298,0.5136907036053541,0.728650037982796
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,wmt16,mt,-2.8169269742407863,36.3652700542963,0.7208001284643298,0.5136907036053541,0.7004957152152559
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.5,wmt16,mt,-7.468528015001848,29.83824006482379,0.7208001284643298,0.5136907036053541,0.666966968937802
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.6,wmt16,mt,-12.287469519063363,23.076401412088188,0.7208001284643298,0.5136907036053541,0.6322320323859058
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.7,wmt16,mt,-16.939036314275345,16.54941947525903,0.7208001284643298,0.5136907036053541,0.5987035329504137
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.8,wmt16,mt,-21.260573151866645,10.485528721860792,0.7208001284643298,0.5136907036053541,0.5675538898734223
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.9,wmt16,mt,-25.193040822095092,4.967571745049064,0.7208001284643298,0.5136907036053541,0.5392086578545974
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,wmt17,mt,3.705857791110652,37.030569365328894,0.7524285619824889,0.5694441014755729,0.7803124944692588
